sample_id,iteration,seed,Percentage of clean tiles,Cleaners
0,0,15028976097873856131021409117552333225,0.96,10
0,1,134241147241977855196807355846278535294,1.0,10
0,2,75087897684147416730752947915286055049,1.0,10
0,3,100163786564455217858387681646815861471,1.0,10
0,4,115054822949973096871734618081218832635,1.0,10
0,5,287595276979118940207820398667173716894,0.99,10
0,6,11077156027870640493529253971636621731,0.99,10
0,7,313671767847070945278490396352312581579,0.98,10
0,8,258955510308137234659400830144494024123,0.98,10
0,9,79604311089178145003107249216008675297,0.99,10
0,10,271334571580275700324941222014387123045,0.95,10
0,11,95467308653652457616111928193028354708,1.0,10
0,12,293131780834475561508735919514937700877,1.0,10
0,13,49060774907942499970997452379776480033,1.0,10
0,14,297664186403370065647153657642657744158,1.0,10
0,15,59424835491854012164543267447224749038,1.0,10
0,16,37957765736467100575452369409462486892,1.0,10
0,17,188972087063414453539907710712554825081,0.95,10
0,18,276275481987859330584097885605599596084,1.0,10
0,19,322093340368824838996480121338220145843,1.0,10
0,20,200141524061000462532344858543966941562,0.99,10
0,21,275850895867071499764681772527870560315,0.96,10
0,22,137097811354249572117356201868924943829,1.0,10
0,23,36896192579675171870206772752661228812,0.99,10
0,24,168489452972235448146289315577720467615,1.0,10
0,25,233474346708603012308470857173848116825,0.98,10
0,26,242062723531631214915818094226789017704,0.98,10
0,27,292966795508166041760851219279534003652,0.97,10
0,28,89522541837249392433438073093653689840,0.96,10
0,29,310520195702645613899228014872763475116,0.99,10
1,0,7770720691092095535052747663702119801,0.99,10
1,1,52047091490688096558579550083922287376,0.98,10
1,2,197491510349502155443658041226258014705,0.99,10
1,3,216672098628966873907733646673519232244,1.0,10
1,4,146410372227121441679988064824899184566,0.98,10
1,5,70757101729194180018831200596772263019,0.99,10
1,6,68786569316492787245900007337772231019,0.99,10
1,7,43606977035998731032918666248637310115,0.97,10
1,8,73653143962743839968775054917460870571,1.0,10
1,9,147775335239467576071230679632795753413,0.99,10
1,10,116493263941997722461004190443647986972,1.0,10
1,11,101040260491652063280079258323674342133,0.99,10
1,12,71911059772811878591387326509675221775,0.99,10
1,13,255460366985210041839993076503984488584,1.0,10
1,14,242668866852847310678355307946397545348,1.0,10
1,15,53014861322465594806156893513785210732,1.0,10
1,16,294152957434028121176162934827229715604,1.0,10
1,17,142018014023029767095633719372540568846,1.0,10
1,18,59867211724388322787587341857736749258,1.0,10
1,19,214501967973485844801832309448829028341,1.0,10
1,20,115422332799188958605838905923776620803,0.97,10
1,21,206007403326742598936820936466126733638,1.0,10
1,22,98922149865907010681586812142035047145,1.0,10
1,23,161645821909107194617243176487336685598,0.99,10
1,24,160785413593755323359963890564267602677,1.0,10
1,25,84627036406346864738485574867614768461,1.0,10
1,26,280472443364971317865013423325109089162,1.0,10
1,27,2054318866801679517062148021808320493,0.99,10
1,28,156824598984526943020880545573395689445,0.99,10
1,29,112586034075508513267671167588786198112,0.97,10
2,0,207812622481052705929948546405875575189,0.97,10
2,1,146743518264709957771019579905869684181,1.0,10
2,2,179308006165556852855779319218743625225,1.0,10
2,3,151795547469343038338306748006126157132,0.96,10
2,4,156467796369992670217907460331579180558,1.0,10
2,5,323042604576788292702869245643800479046,0.99,10
2,6,299126526489191210201178409422318817172,0.98,10
2,7,229574806478555279241401449533447186208,1.0,10
2,8,106313295332431867560859362079892038131,0.96,10
2,9,274846651369659600629349046904076027869,1.0,10
2,10,133828874261788042057947666587771258881,1.0,10
2,11,6597799394504339737463840275909191774,1.0,10
2,12,106404244950969886368955413639211470450,0.99,10
2,13,38921156259200449352778505101012084249,0.97,10
2,14,333782704235857218268136974492514413050,0.99,10
2,15,312829426146812349550815472404269837450,1.0,10
2,16,318841850171250915517343206681283091766,1.0,10
