sample_id,iteration,seed,Percentage of clean tiles,Cleaners,Steps,Movements,Unclean Percentage
0,0,35925291376234963462733323763129608487,0.98,10,100,982,20.0
0,1,113741635797976555126850969775000235196,0.99,10,100,981,20.0
0,2,101071410354640474627920540957424519057,1.0,10,96,940,20.0
0,3,279155649999126003144881095392494491794,0.97,10,100,983,20.0
0,4,116118597942350850915224720722577268036,0.96,10,100,984,20.0
0,5,192016597985044951017041466961312872607,0.99,10,100,981,20.0
0,6,215964508201430723484059133732578547340,0.99,10,100,981,20.0
0,7,165872658100062811468512004764361115627,1.0,10,97,950,20.0
0,8,58082349154604100740572778202872712721,0.99,10,100,981,20.0
0,9,185356130992124610751340689453530903395,0.99,10,100,981,20.0
0,10,7946464783483479056327746561777162550,0.99,10,100,981,20.0
0,11,208190389097152354496007628683791200265,1.0,10,100,980,20.0
0,12,47773488616220244970145002015350253778,0.99,10,100,981,20.0
0,13,249919629781876535255294201167294328039,0.99,10,100,981,20.0
0,14,202602726379412771603001255061867833289,0.99,10,100,981,20.0
0,15,324297430993026471104137361063916116008,0.97,10,100,983,20.0
0,16,175910573288799285185007245130345322464,0.97,10,100,983,20.0
0,17,329942901700437574056713179616919370062,0.95,10,100,985,20.0
0,18,297238753781855620731071370444722198755,1.0,10,85,830,20.0
0,19,64240185197458025991113482411794118035,1.0,10,99,970,20.0
1,0,226299547784120469076877553367581752570,0.98,10,100,980,22.06896551724138
1,1,157296788473502780528867365892701891931,1.0,10,75,728,22.06896551724138
1,2,299235582253579168976826256137033226769,0.99,10,100,979,22.06896551724138
1,3,86970281174183574642446069349093937702,1.0,10,89,868,22.06896551724138
1,4,96108233013544501930871188749543521168,1.0,10,98,958,22.06896551724138
1,5,250007803219526712135999780928467754130,0.99,10,100,979,22.06896551724138
1,6,193788818746527303755574317910184453556,0.98,10,100,980,22.06896551724138
1,7,259283495883079051058586191476410384783,1.0,10,81,788,22.06896551724138
1,8,127401152582384346190211438068011469665,0.98,10,100,980,22.06896551724138
1,9,11437449424621348323800072240802156662,0.99,10,100,979,22.06896551724138
1,10,68177938145549352646274501439537052640,1.0,10,96,938,22.06896551724138
1,11,137150131846530106619696494546118795497,0.98,10,100,980,22.06896551724138
1,12,223105258579748366575622396832300126934,0.98,10,100,980,22.06896551724138
1,13,58064187568711063908347334357000860512,1.0,10,93,908,22.06896551724138
1,14,223676092646825314204671396151366946780,0.99,10,100,979,22.06896551724138
1,15,243304777682915936884243246453303596138,1.0,10,97,948,22.06896551724138
1,16,133975118674265603292404284790138443811,0.99,10,100,979,22.06896551724138
1,17,302285892898290692367387060891660239537,1.0,10,65,628,22.06896551724138
1,18,216255583494080789725319845746835621975,1.0,10,70,678,22.06896551724138
1,19,248625006251021019408013329922897763719,0.99,10,100,979,22.06896551724138
2,0,33585970576708352333423335735624472635,0.99,10,100,977,24.137931034482758
2,1,178405334313950844645804009225142705915,0.94,10,100,982,24.137931034482758
2,2,272530733001637328177997609331224164007,0.95,10,100,981,24.137931034482758
2,3,123188817780758782612909838386071920551,1.0,10,56,536,24.137931034482758
2,4,259765512632751994168899332933720103440,0.97,10,100,979,24.137931034482758
2,5,105307584774278534153858902436293924879,0.99,10,100,977,24.137931034482758
2,6,51657358617243858705387286985964132125,0.99,10,100,977,24.137931034482758
2,7,61482104103067589697734832782317309244,0.99,10,100,977,24.137931034482758
2,8,101548349987995201759691091344159196028,0.99,10,100,977,24.137931034482758
2,9,172591956186106965594566088259193603108,1.0,10,81,786,24.137931034482758
2,10,189378580932357281902653050436511853773,0.97,10,100,979,24.137931034482758
2,11,259516728517563188572320310039805153199,1.0,10,85,826,24.137931034482758
2,12,324430346150769720278897670548026951200,0.98,10,100,978,24.137931034482758
2,13,332090743463295182218905418645722083014,0.97,10,100,979,24.137931034482758
2,14,14979827989080560809598717808027289262,1.0,10,77,746,24.137931034482758
2,15,196811539070625281515336137686238880347,0.98,10,100,978,24.137931034482758
2,16,223190574500775703959849152313079707538,0.99,10,100,977,24.137931034482758
2,17,76959995317670872481806005141118575913,0.99,10,100,977,24.137931034482758
2,18,258058913275960577651440543165271043356,0.99,10,100,977,24.137931034482758
2,19,1749107822140191919582811599731468756,0.99,10,100,977,24.137931034482758
3,0,100663658442514736909977758738079188131,0.99,10,100,975,26.20689655172414
3,1,298739835176993865935414951882431365819,0.98,10,100,976,26.20689655172414
3,2,265948107239324697724985058448802880760,1.0,10,98,954,26.20689655172414
3,3,36675768111398629271193762829223625163,0.99,10,100,975,26.20689655172414
3,4,161008008805134835803790421239408862986,0.99,10,100,975,26.20689655172414
3,5,62899748910395338054911541442646344,0.98,10,100,976,26.20689655172414
